2026-04-15 13:15:39.636746 | videos\exp_short5.mp4 | SUCCESS | https://www.youtube.com/watch?v=TDi_Wu3tilI
2026-04-15 13:15:43.383905 | videos\exp_short6.mp4 | SUCCESS | https://www.youtube.com/watch?v=wS6sbsKBiYQ
2026-04-15 13:15:46.065197 | videos\exp_short7.mp4 | SUCCESS | https://www.youtube.com/watch?v=Bk7aFXkh56o
2026-04-15 13:15:49.288768 | videos\exp_short8.mp4 | SUCCESS | https://www.youtube.com/watch?v=fRnRXunzGIU
2026-04-15 13:15:53.423874 | videos\exp_short9.mp4 | SUCCESS | https://www.youtube.com/watch?v=WpIIYZ3lWJA
2026-04-17 10:12:47.347215 | videos\exp_short1.mp4 | SUCCESS | https://www.youtube.com/watch?v=C9b0PI7HhH4
2026-04-17 10:12:50.732076 | videos\exp_short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=kQY8Tq-T4tI
2026-04-17 10:12:56.624556 | videos\exp_short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=PosfGB4wWig
2026-04-17 10:13:00.542349 | videos\exp_short4.mp4 | SUCCESS | https://www.youtube.com/watch?v=vGg1WVdiIYk
2026-04-17 10:13:05.427723 | videos\exp_short5.mp4 | SUCCESS | https://www.youtube.com/watch?v=osir2NNeOek
2026-04-17 10:13:10.133822 | videos\exp_short6.mp4 | SUCCESS | https://www.youtube.com/watch?v=DHuiWrr7ATI
2026-04-17 10:13:15.388455 | videos\exp_short7.mp4 | SUCCESS | https://www.youtube.com/watch?v=FTCuqEGjYXQ
2026-04-17 10:13:21.474161 | videos\exp_short8.mp4 | SUCCESS | https://www.youtube.com/watch?v=qobKlVOp4BQ
2026-04-17 10:13:27.440782 | videos\exp_short9.mp4 | SUCCESS | https://www.youtube.com/watch?v=ZJ2mIIrKdKQ
